index,day_of_week,month,hour,x_coord,y_coord,delays
339,5.0,4.0,3.0,-84.359477,33.743231,154.35
340,5.0,4.0,4.0,-84.359477,33.743231,150.75
341,5.0,4.0,5.0,-84.359477,33.743231,148.05
342,5.0,4.0,6.0,-84.359477,33.743231,153.53333333333333
343,5.0,4.0,7.0,-84.359477,33.743231,146.07
344,5.0,4.0,8.0,-84.359477,33.743231,144.61999999999998
345,5.0,4.0,9.0,-84.359477,33.743231,144.61999999999998
346,5.0,4.0,10.0,-84.359477,33.743231,132.42000000000002
347,5.0,4.0,11.0,-84.359477,33.743231,142.08666666666667
348,5.0,4.0,12.0,-84.359477,33.743231,112.92499999999998
349,5.0,4.0,13.0,-84.359477,33.743231,146.94166666666666
350,5.0,4.0,14.0,-84.359477,33.743231,151.975
351,5.0,4.0,15.0,-84.359477,33.743231,152.8892857142857
352,5.0,4.0,16.0,-84.359477,33.743231,146.20999999999998
353,5.0,4.0,17.0,-84.359477,33.743231,130.91
354,5.0,4.0,18.0,-84.359477,33.743231,148.61166666666668
355,5.0,4.0,19.0,-84.359477,33.743231,173.1
356,5.0,4.0,20.0,-84.359477,33.743231,184.225
357,5.0,4.0,21.0,-84.359477,33.743231,173.4
358,5.0,4.0,22.0,-84.359477,33.743231,176.1
359,5.0,4.0,23.0,-84.359477,33.743231,194.28333333333333
360,5.0,4.0,0.0,-84.441915,33.748838,2135.55
361,5.0,4.0,1.0,-84.441915,33.748838,2302.75
362,5.0,4.0,2.0,-84.441915,33.748838,2333.05
363,5.0,4.0,3.0,-84.441915,33.748838,2287.1833333333334
364,5.0,4.0,4.0,-84.441915,33.748838,2332.2833333333333
365,5.0,4.0,5.0,-84.441915,33.748838,2288.333333333333
366,5.0,4.0,6.0,-84.441915,33.748838,2287.483333333333
367,5.0,4.0,7.0,-84.441915,33.748838,2566.925
368,5.0,4.0,8.0,-84.441915,33.748838,2566.925
369,5.0,4.0,9.0,-84.441915,33.748838,2951.75
370,5.0,4.0,10.0,-84.441915,33.748838,1995.575
371,5.0,4.0,11.0,-84.441915,33.748838,3146.2
372,5.0,4.0,12.0,-84.441915,33.748838,77.86041666666667
373,5.0,4.0,13.0,-84.441915,33.748838,95.75
374,5.0,4.0,14.0,-84.441915,33.748838,212.125
375,5.0,4.0,15.0,-84.441915,33.748838,190.48333333333335
376,5.0,4.0,16.0,-84.441915,33.748838,245.89333333333335
377,5.0,4.0,17.0,-84.441915,33.748838,223.89333333333335
378,5.0,4.0,18.0,-84.441915,33.748838,273.24333333333334
379,5.0,4.0,19.0,-84.441915,33.748838,393.75
380,5.0,4.0,20.0,-84.441915,33.748838,411.65
381,5.0,4.0,21.0,-84.441915,33.748838,363.35
382,5.0,4.0,22.0,-84.441915,33.748838,324.46500000000003
383,5.0,4.0,23.0,-84.441915,33.748838,820.0946428571427
384,5.0,4.0,0.0,-84.443904,33.75034,180.0
385,5.0,4.0,1.0,-84.443904,33.75034,237.11666666666665
386,5.0,4.0,2.0,-84.443904,33.75034,231.61666666666665
387,5.0,4.0,3.0,-84.443904,33.75034,242.26666666666665
388,5.0,4.0,4.0,-84.443904,33.75034,258.51666666666665
389,5.0,4.0,5.0,-84.443904,33.75034,278.91666666666663
390,5.0,4.0,6.0,-84.443904,33.75034,330.3666666666667
391,5.0,4.0,7.0,-84.443904,33.75034,283.91666666666663
392,5.0,4.0,8.0,-84.443904,33.75034,271.76666666666665
393,5.0,4.0,9.0,-84.443904,33.75034,622.6666666666667
394,5.0,4.0,10.0,-84.443904,33.75034,79.64166666666668
395,5.0,4.0,11.0,-84.443904,33.75034,64.81666666666668
396,5.0,4.0,12.0,-84.443904,33.75034,61.45
397,5.0,4.0,13.0,-84.443904,33.75034,82.17083333333333
398,5.0,4.0,14.0,-84.443904,33.75034,461.2
399,5.0,4.0,15.0,-84.443904,33.75034,471.4166666666667
400,5.0,4.0,16.0,-84.443904,33.75034,340.7666666666667
401,5.0,4.0,17.0,-84.443904,33.75034,220.2166666666667
402,5.0,4.0,18.0,-84.443904,33.75034,231.4666666666667
403,5.0,4.0,19.0,-84.443904,33.75034,250.34
404,5.0,4.0,20.0,-84.443904,33.75034,352.375
405,5.0,4.0,21.0,-84.443904,33.75034,267.36
406,5.0,4.0,22.0,-84.443904,33.75034,213.93333333333334
407,5.0,4.0,23.0,-84.443904,33.75034,441.3375000000001
408,5.0,4.0,0.0,-84.415308,33.741357,193.3
409,5.0,4.0,1.0,-84.415308,33.741357,380.55
